Type, Code, Name, Packing, Quantity, Free, Selling Rate, MRP, Batch No., Exp. Date, Discount, VAT %, VAT Amt, TS %, TS Amt, Cess, Amount,HSN,PTR ,RackNo
H, Supplier,SUMMIT PHARMA
H, Inv.No.,SPH12474
H , Inv.Date,15/08/2026
D,315040,KAINOCET  TABLET,10TABLET,        30,          ,      3.92,     19.50,ARU01AFB,12/28,          ,      5.00,      5.88,          ,          ,          ,    117.60,30049099,      3.92,K-3
D,315002,KAINOGEL  OINTMENT,30GMS,         5,          ,     23.00,    103.00,50438,10/27,          ,      5.00,      5.76,          ,          ,          ,    115.00,30049066,     23.00,K-10
D,130039,ULTRACET TAB,15TAB,         3,          ,    247.70,    325.10,J116164,04/28,          ,      5.00,     37.16,          ,          ,          ,    743.10,30049069,    247.70,M-5
D,410015,CLOPILET 75MG,15'S,         2,          ,     81.83,    107.40,GTH1448C,03/28,          ,      5.00,      8.18,          ,          ,          ,    163.66,30049099,     81.83,SN-9
D,211001,SUGAR FREE GOLD 100 PELLETS,100TAB,         2,          ,     64.00,     75.00,BWSC0456,05/28,          ,      5.00,      6.40,          ,          ,          ,    128.00,21069099,     64.00,G-12
D,104031,K-GLIM TAB 2MG,15TAB,         5,          ,     23.57,     30.93,KGT2601,12/27,          ,      5.00,      5.90,          ,          ,          ,    117.85,30043190,     23.57,E-3
D,104051,LIPONORM 5 MG,15TAB,         6,          ,     32.85,     43.12,LMP2601,12/27,          ,      5.00,      9.86,          ,          ,          ,    197.10,30049079,     32.85,E-16
D,104055,LIPONORM TAB 10MG,15TAB,         6,          ,     40.00,     52.50,LM2602,02/28,          ,      5.00,     12.00,          ,          ,          ,    240.00,30049079,     40.00,E-22
D,105119,P-PPI 40 TAB,15TAB,         3,          ,     46.42,     60.93,ZDZ2609,04/28,          ,      5.00,      6.96,          ,          ,          ,    139.26,30049039,     46.42,E-5
D,105160,R-PPI  L CAPSULES,15TAB,         1,          ,    100.00,    131.25,ZKQ2604,03/28,          ,      5.00,      5.00,          ,          ,          ,    100.00,30049039,    100.00,E-5
F, Bill Amount,     2165.00
